"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"VASAGLE Small Coffee Table Set of 2, Round Coffee Table with Steel Frame, Side End Table for Living Room, Bedroom, Office, Rustic Brown and Black","B08JSXNVKR","https://www.amazon.com/dp/B08JSXNVKR?psc=1","https://m.media-amazon.com/images/I/715b4VhLIpL._AC_SX679_.jpg","VASAGLE",69.88,"1,034","72,255.92","33,731","n/a",31.78,14,4.6,"1,687",9,46,"n/a","Home & Kitchen","Small Oversize","FBA","21.7x5.2x22.9",17.82,"4/6/2021"
"Tajsoon Console Table, Industrial entryway Table, Narrow Sofa Table with Shelves,Entrance Table for Entryway, Hallway, Living Room, Foyer, Corridor, Office, Rustic Brown and Black","B0989DQJ9L","https://www.amazon.com/dp/B0989DQJ9L?psc=1","https://m.media-amazon.com/images/I/814rUarzH8L._AC_SY450_.jpg","Tajsoon",59.99,"2,608","156,453.92","14,121","CN",19.85,1,4.5,"1,195",7,77,"tajsoon","Home & Kitchen","Large Standard-Size","FBA","12.4x4.0x16.8",14.22,"6/30/2021"
"Yoobure C Shaped End Table Set of 2, Side Table for Couch and Bed, Small Side Table for Small Spaces, Living Room, Bedroom, Rustic Snack Table","B0BZHHFTL4","https://www.amazon.com/dp/B0BZHHFTL4?psc=1","https://m.media-amazon.com/images/I/61P3S0qnKFL._AC_SX466_.jpg","Yoobure",45.04,761,"34,275.44","26,076","HK",22.79,1,4.6,313,6,8,"Super A Plus","Home & Kitchen","Small Oversize","FBA","17.5x5.1x17.9",15.44,"5/20/2023"
"IANIYA Glass Coffee Table Black Metal Tube Clear Glass Coffee Table (All-Black)","B0BVDQ477G","https://www.amazon.com/dp/B0BVDQ477G?psc=1","https://m.media-amazon.com/images/I/71v8s179kbL._AC_SX569_.jpg","IANIYA",119.99,521,"62,514.79","50,769","CN",48.73,2,4.6,"1,931",9,22,"IANIYA FURNITURE","Home & Kitchen","Small Oversize","FBA","26.5x5.0x42.3",50.11,"6/17/2021"
"Yoobure C Shaped End Table with Charging Station, Small Side Tables for Living Room, Bedroom, Sofa Table with USB Ports and Outlets for Small Spaces, C Couch Table Rustic Snack Table Bed Side Table","B0BD587DGS","https://www.amazon.com/dp/B0BD587DGS?psc=1","https://m.media-amazon.com/images/I/71LZk45zymL._AC_SX466_.jpg","Yoobure",47.99,"2,602","124,869.98","10,477","CN",16.61,1,4.6,693,7,103,"Yoobure Direct","Home & Kitchen","Large Standard-Size","FBA","11.6x4.0x17.7",9.79,"11/21/2022"
"Yaheetech Console Table with Drawer, Narrow Entryway Table for Living Room with Storage Shelves, Industrial Wood Hallway Sofa Table with Metal Frame, Gray","B097RPHWFH","https://www.amazon.com/dp/B097RPHWFH?psc=1","https://m.media-amazon.com/images/I/81J-SLmfTLS._AC_SX569_.jpg","Yaheetech",88.99,"1,001","89,078.99","34,244","US",43.24,1,4.6,"2,541",9,70,"Yaheetech","Home & Kitchen","Small Oversize","MFN","15.0x6.7x44.1",48.29,"6/24/2021"
"Rectangle Glass Coffee Table-Black Modern Side Coffee Table with Lower Shelf Wooden Legs Suit for Living Room, Dining Room, Office Glass Coffee Table with Storage Shelf for Coffee Tea Books Magazine","B0B7MNG9RZ","https://www.amazon.com/dp/B0B7MNG9RZ?psc=1","https://m.media-amazon.com/images/I/712A1F7StRL._AC_SX466_.jpg","HUBSE",69.99,242,"16,937.58","120,050","US","n/a",1,4.1,256,7,9,"HUBESTSELLER","Home & Kitchen","n/a","MFN","n/a","n/a","7/26/2022"
"Bestier LED Coffee Tables for Living Room, 42 Inch Wood Center Table with Glass Top for Game Night. Living Room Tables Rustic Brown","B09R94QL35","https://www.amazon.com/dp/B09R94QL35?psc=1","https://m.media-amazon.com/images/I/81aGh6tkOPL._AC_SX425_.jpg","Bestier",189.99,266,"50,537.34","165,218","US",57.66,2,4.4,164,9,17,"Bestier Direct","Home & Kitchen","Small Oversize","FBA","24.3x4.3x46.5",47.11,"1/27/2022"
"SAYGOER Glass Coffee Table, Small Modern Coffee Table Square Simple Center Tables for Living Room 26.7 x 26.7 x 15.7 Inches, Gray Black","B094NTR166","https://www.amazon.com/dp/B094NTR166?psc=1","https://m.media-amazon.com/images/I/91cTZVQORnL._AC_SX425_.jpg","SAYGOER",79.88,558,"44,573.04","46,039","CN",32.21,7,4.7,696,9,29,"SAYGOER DIRECT","Home & Kitchen","Small Oversize","FBA","29.2x2.5x34.7",25.85,"5/11/2021"
"Cozy Castle Modern Coffee Table, Wooden Console Table 2 Tier with Open Storage Shelf and 1 Drawer, Easy Assembly Minimalist Hallway Table, Mid Century Modern Coffee Table for Living Room Home Office","B0972W75N8","https://www.amazon.com/dp/B0972W75N8?psc=1","https://m.media-amazon.com/images/I/91enu-GRGqS._AC_SX569_.jpg","Cozy Castle",89.99,166,"14,938.34","156,319","CN","n/a",1,4.4,147,8,9,"cozypshouse","Home & Kitchen","n/a","MFN","4.7x23.0x44.5","n/a","6/11/2021"
