"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"44","dnbss Brown Night Stand with Wireless Charging, Nightstand with Drawers, Smart Bedside Table with 24-color RGB LED Lights, Charging Nightstand for Bedroom, Modern End Side Table for Living Room Office","B09WQXTP7Y","https://www.amazon.com/dp/B09WQXTP7Y?psc=1","https://m.media-amazon.com/images/I/91to+DtqkhL._AC_SY450_.jpg","dnbss",139.99,241,33737.59,85381,"CN",45.85,2,4.1,234,8,13,"DNBSS","Home & Kitchen","Small Oversize","FBA","18.2x6.5x27.3","36.56",2022-06-01
"45","YBING Nightstand with Charging Station End Table with USB Ports and Power Outlets Bedside Table with 2 Fabric Drawers and Storage Shelves Industrial Small Side Table for Living Room, Bedroom (Brown)","B0BFR1G7D9","https://www.amazon.com/dp/B0BFR1G7D9?psc=1","https://m.media-amazon.com/images/I/81cTs4qDonL._AC_SY450_.jpg","YBING",46.99,307,14425.93,128856,"CN",16.94,1,4,69,7,11,"YBING Direct","Home & Kitchen","Large Standard-Size","FBA","13.0x5.2x16.6","11.34",2022-10-16
"46","TILLMAO End Table with Charging Station,Narrow Side Table with Storage&2 USB Ports&2 Power Outlets,Flip Top Bedside Table/Night Stand/Sofa Side Table for Small Spaces,Living Room,Bedroom","B09XGRKCKH","https://www.amazon.com/dp/B09XGRKCKH?psc=1","https://m.media-amazon.com/images/I/71rsb5uUC4L._AC_SX466_.jpg","TILLMAO",49.99,203,10147.97,93507,"CN",18.82,1,4.7,144,7,3,"Weili-TECH","Home & Kitchen","Large Standard-Size","FBA","14.0x6.6x17.0","15.56",2022-07-31
"47","NUTMAK Side Table, Slim Nightstand Bedside Table with Solid Wood Legs, 2-Tier End Table with Storage Shelf for Living Room Bedroom Entryway, No-Tool Assembly.","B0BJ262QG9","https://www.amazon.com/dp/B0BJ262QG9?psc=1","https://m.media-amazon.com/images/I/71ukWj3XtZL._AC_SX425_.jpg","NUTMAK",28.99,166,4812.34,142417,"US",12.89,1,4.5,40,7,5,"DESIREVAE GLOBAL INC","Home & Kitchen","Large Standard-Size","FBA","13.6x3.3x17.0","7.47",2022-10-13
"48","VASAGLE Side Table with Charging Station, 3-Tier End Table with USB Ports and Outlets, Nightstand for Living Room, Bedroom, 11.8 x 13.4 x 22.8 Inches, Plug-In Series, Rustic Brown and Black ULET373B01","B09VXDMBW5","https://www.amazon.com/dp/B09VXDMBW5?psc=1","https://m.media-amazon.com/images/I/81r0-4Ne+6L._AC_SY355_.jpg","VASAGLE",45.99,1065,48979.35,40876,"US",17.43,11,4.6,880,9,68,"Songmics Direct","Home & Kitchen","Large Standard-Size","FBA","12.9x5.2x16.9","13.40",2022-03-18
"49","Rolanstar End Table with Charging Station, Round Side Table with Double Glass Shelves & Metal Frame, Small Coffee Accent Table, Modern Nightstand Bedside Table for Living Room, Bedroom, Gold","B0BBFYXRG4","https://www.amazon.com/dp/B0BBFYXRG4?psc=1","https://m.media-amazon.com/images/I/61ldZTkaNPL._AC_SX522_.jpg","Rolanstar",59.99,56,3359.44,113124,"CN",23.77,1,4.7,38,8,0,"RolanstarDirect","Home & Kitchen","Small Oversize","FBA","18.0x3.3x24.2","13.00",2022-12-01
"50","Able Life Able Tray Table, Adjustable Bamboo Swivel TV and Laptop Table with Ergonomic Stand Assist Safety Handle, Independent Living Aid","B0026IBSUA","https://www.amazon.com/dp/B0026IBSUA?psc=1","https://m.media-amazon.com/images/I/81cbd10J+bL._AC_SX466_.jpg","Able Life Comfortably Independent",159,825,131175,34239,"AMZ",42.82,7,4.5,2743,6,64,"Amazon","Health & Household","Small Oversize","FBA","18.5x3.0x28.0","29.86",2003-10-02
"51","Nightstands Set of 2, Industrial End Table with Fabric Drawer and Storage Shelf, Retro Bedside Tables Organizer, Side Table for Living Room Bedroom, Rustic Brown Wooden Look and Black Metal Frame","B0BCJ8MVD7","https://www.amazon.com/dp/B0BCJ8MVD7?psc=1","https://m.media-amazon.com/images/I/711RF4FkbgL._AC_SY355_.jpg","Furologee",59.99,941,56450.59,32267,"CN",21.45,1,4.3,141,9,29,"Engriy Store","Home & Kitchen","Large Standard-Size","FBA","13.3x5.4x17.6","19.27",2022-09-10
"52","Round Side Table with Charging Station - Nightstand with Outlets, USB Ports, Wireless Charger & Storage Drawer, Bedside Night Stand for Bedroom, End Table for Living Room with Solid Wood Legs (White)","B0BQMPR8BN","https://www.amazon.com/dp/B0BQMPR8BN?psc=1","https://m.media-amazon.com/images/I/71N7J6aRQfL._AC_SY450_.jpg","AltimaArs",117.9,NA,NA,1865035,"US",37.08,1,5,7,7,5,"AltimaArs","Home & Kitchen","Small Oversize","FBA","18.5x9.0x19.5","12.10",2022-12-20
"53","WLIVE Nightstand, Bedside Table with Adjustable Wooden Drawer, 2-Tier Night Stands for Couch, Bed, Sofa, End Table Side Table for Bedroom, Living Room, Black","B0BJ6M5XSG","https://www.amazon.com/dp/B0BJ6M5XSG?psc=1","https://m.media-amazon.com/images/I/71Fa+PhBg3L._AC_SX466_.jpg","WLIVE",39.99,717,28672.83,58841,"CN",17.64,1,4.6,63,8,15,"WLIVE","Home & Kitchen","Large Standard-Size","FBA","13.2x5.4x16.9","16.53",2022-10-14
